year,match_num,match_num_t,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,W_L,H_A
1992,28,28,[],[],[],[],[],[],['31'],"['31', '38']","['31', '38', '44']","['31', '38', '44']","['31', '38', '44', '46']","['31', '38', '44', '46']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']","['31', '38', '44', '46', '59']",W,H
1992,28,28,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['66'],['66'],['66'],['66'],"['66', '86', '88']","['66', '86', '88']",L,A
1992,29,29,['03'],['03'],"['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14']","['03', '14', '84']","['03', '14', '84']","['03', '14', '84']",W,H
1992,29,29,['04'],['04'],['04'],['04'],['04'],['04'],['04'],['04'],['04'],['04'],['04'],['04'],['04'],"['04', '63']","['04', '63']","['04', '63']","['04', '63']","['04', '63']","['04', '63']","['04', '63']",L,A
1992,30,30,[],[],[],[],[],['27'],['27'],"['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37']","['27', '37', '81']","['27', '37', '81']","['27', '37', '81']",D,H
1992,30,30,[],[],[],[],[],[],[],[],[],[],['49'],['49'],"['49', '57']","['49', '57', '64']","['49', '57', '64']","['49', '57', '64']","['49', '57', '64']","['49', '57', '64']","['49', '57', '64']","['49', '57', '64']",D,A
1992,31,31,[],[],[],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],"['16', '88']","['16', '88']",D,H
1992,31,31,[],[],[],[],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],['21'],"['21', '80']","['21', '80']","['21', '80']","['21', '80']",D,A
1992,32,32,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['73'],['73'],['73'],['73'],['73'],L,H
1992,32,32,[],[],['13'],['13'],['13'],['13'],['13'],['13'],['13'],['13'],"['13', '46']","['13', '46']","['13', '46']","['13', '46']","['13', '46']","['13', '46']","['13', '46']","['13', '46']","['13', '46']","['13', '46']",W,A
1992,33,33,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,33,33,[],[],[],[],[],[],[],[],[],[],[],['53'],['53'],['53'],['53'],['53'],"['53', '80']","['53', '80']","['53', '80']","['53', '80']",W,A
1992,34,34,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,34,34,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['89'],['89'],W,A
1992,35,35,[],[],[],[],[],[],[],[],['41'],['41'],['41'],['41'],['41'],['41'],['41'],['41'],['41'],['41'],['41'],['41'],D,H
1992,35,35,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['66'],['66'],['66'],['66'],['66'],['66'],D,A
1992,36,36,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['88'],['88'],W,H
1992,36,36,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,37,37,[],[],[],[],[],[],[],[],[],[],[],[],['56'],['56'],['56'],['56'],['56'],['56'],"['56', '90']","['56', '90']",D,H
1992,37,37,[],[],[],[],[],[],[],['39'],['39'],['39'],['39'],['39'],['39'],['39'],"['39', '70']","['39', '70']","['39', '70']","['39', '70']","['39', '70']","['39', '70']",D,A
1992,38,38,[],[],[],['19'],['19'],"['19', '26']","['19', '26', '31']","['19', '26', '31']","['19', '26', '31']","['19', '26', '31']","['19', '26', '31', '46']","['19', '26', '31', '46']","['19', '26', '31', '46']","['19', '26', '31', '46']","['19', '26', '31', '46', '66']","['19', '26', '31', '46', '66']","['19', '26', '31', '46', '66']","['19', '26', '31', '46', '66']","['19', '26', '31', '46', '66']","['19', '26', '31', '46', '66']",W,H
1992,38,38,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,39,39,[],[],[],[],[],[],[],[],[],[],['48'],['48'],['48'],['48'],"['48', '67']","['48', '67']","['48', '67']","['48', '67']","['48', '67']","['48', '67']",D,H
1992,39,39,[],[],[],[],[],[],['34'],['34'],['34'],['34'],['34'],['34'],['34'],['34'],['34'],"['34', '74']","['34', '74']","['34', '74']","['34', '74']","['34', '74']",D,A
1992,40,40,[],[],[],[],['25'],['25'],"['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']","['25', '31']",W,H
1992,40,40,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,41,41,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,H
1992,41,41,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,A
1992,42,42,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,42,42,[],[],[],[],[],[],[],[],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],W,A
1992,43,43,[],[],[],[],[],[],[],[],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],"['45', '80']","['45', '80']","['45', '80', '90']","['45', '80', '90']",W,H
1992,43,43,[],[],[],[],[],[],[],[],[],[],[],[],['58'],['58'],['58'],['58'],['58'],['58'],['58'],['58'],L,A
1992,44,44,[],['08'],['08'],['08'],['08'],"['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']","['08', '27']",W,H
1992,44,44,[],[],[],[],[],[],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],['33'],L,A
1992,45,45,[],[],[],[],[],[],[],[],[],[],[],[],['59'],['59'],['59'],['59'],['59'],['59'],['59'],['59'],W,H
1992,45,45,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,46,46,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,46,46,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['69'],['69'],"['69', '79']","['69', '79']","['69', '79']","['69', '79']",W,A
1992,47,47,[],[],[],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],['20'],L,H
1992,47,47,[],[],[],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],"['16', '74']","['16', '74']","['16', '74']","['16', '74']","['16', '74']",W,A
1992,48,48,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,H
1992,48,48,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,A
1992,49,49,[],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],['07'],"['07', '87']","['07', '87']",D,H
1992,49,49,[],[],[],[],[],[],[],[],['44'],['44'],['44'],['44'],['44'],['44'],"['44', '70']","['44', '70']","['44', '70']","['44', '70']","['44', '70']","['44', '70']",D,A
